내용,API 변수,위카 테이블 명,위카 테이블 컬럼명,nullable,datatype,key,extra,,,,,,,,,,,,,,,,,
제조사 코드,makerId,car_makers,id,,int unsigned,primary,,,,,,,,,,,,,,,,,,
국문 제조사명,makerNm,car_makers,name,,,,,,,,,,,,,,,,,,,,,
영문 제조사명,makerNmEng,car_makers,name_en,Y,,,,,,,,,,,,,,,,,,,,
제조국가,country,car_makers,country,Y,,,,,,,,,,,,,,,,,,,,
"국산/수입구분 (국산:N, 수입:Y)",importYn,car_makers,import_yn,Y,char(1),,,,,,,,,,,,,,,,,,,
제조사 이미지,carClassMakerImg,car_makers,logo_url,Y,,,,,,,,,,,,,,,,,,,,
대표 모델 코드,classModelId,car_models,id,,int unsigned,primary,,,,,,,,,,,,,,,,,,
대표 모델명,classModelNm,car_models,name,,,,,,,,,,,,,,,,,,,,,
제조사 코드,makerId,car_models,maker_id,,int unsigned,,,,,,,,,,,,,,,,,,,
상세 모델 코드,modelId,car_details,id,,int unsigned,primary,,,,,,,,,,,,,,,,,,
상세 모델명,modelNm,car_details,name,,,,,,,,,,,,,,,,,,,,,
대표 모델 코드,classModelId,car_details,model_id,,int unsigned,,,,,,,,,,,,,,,,,,,
모델 약칭,nameShort,car_details,short_name,Y,,,,,,,,,,,,,,,,,,,,
세대명,nameGen,car_details,generation_name,Y,,,,,,,,,,,,,,,,,,,,
출시 년월 (Y.m형식),modelStartDate,car_details,start_date,Y,,,,,,,,,,,,,,,,,,,,
단종 년월 (Y.m형식),modelEndDate,car_details,end_date,Y,,,,,,,,,,,,,,,,,,,,
모델 이미지,imageUrl,car_details,image_url,Y,,,,,,,,,,,,,,,,,,,,
제원코드,bpNo,car_bps,id,,int unsigned,primary,,,,,,,,,,,,,,,,,,
제원명,bpNm,car_bps,name,,,,,,,,,,,,,,,,,,,,,
상세 모델 코드,modelId,car_bps,detail_id,,int unsigned,,,,,,,,,,,,,,,,,,,
등급코드,gradeId,car_grades,id,,int unsigned,primary,,,,,,,,,,,,,,,,,,
등급명,gradeNm,car_grades,name,,,,,,,,,,,,,,,,,,,,,
제원코드,bpNo,car_grades,bp_id,,int unsigned,,,,,,,,,,,,,,,,,,,
등급구분명,nmTitle,car_grades,type_name,Y,,,,,,,,,,,,,,,,,,,,
차종코드,categoryId,car_grades,car_type_id,Y,int unsigned,,,,,,,,,,,,,,,,,,,
차종명,category,car_grades,car_type_name,Y,,,,,,,,,,,,,,,,,,,,
외형 구분 코드,shapeCategoryId,car_grades,shape_category_id,Y,int unsigned,,,,,,,,,,,,,,,,,,,
외형 구분,shapeCategory,car_grades,shape_category_name,Y,,,,,,,,,,,,,,,,,,,,
용도코드,plugId,car_grades,purpose_id,Y,int unsigned,,,,,,,,,,,,,,,,,,,
용도명,plug,car_grades,purpose_name,Y,,,,,,,,,,,,,,,,,,,,
배기량,displace,car_grades,displacement,Y,,,,,,,,,,,,,,,,,,,,
변속기,gearbox,car_grades,gearbox,Y,,,,,,,,,,,,,,,,,,,,
자동 변속기 단수,gearboxAt,car_grades,gearbox_auto,Y,,,,,,,,,,,,,,,,,,,,
수동 변속기 단수,gearboxMt,car_grades,gearbox_manual,Y,,,,,,,,,,,,,,,,,,,,
연료,fuel,car_grades,fuel,Y,,,,,,,,,,,,,,,,,,,,
승차정원,seatingCapacity,car_grades,seating_capacity,Y,,,,,,,,,,,,,,,,,,,,
등급신차가격,newcarPrice,car_grades,grade_newcar_price,Y,,,,,,,,,,,,,,,,,,,,
세부 출시 년월 (Y.m형식),gradeStartDate,car_grades,start_date,Y,,,,,,,,,,,,,,,,,,,,
세부 단종 년월 (Y.m형식),gradeEndDate,car_grades,end_date,Y,,,,,,,,,,,,,,,,,,,,
데이터 등록 일자,,car_grades,created_at,,datetime,,current_timestamp,,,,,,,,,,,,,,,,,